id_estado,nombre_estado,id_distrito_local,cabecera_distrital_local,id_municipio,municipio,seccion,morena,total_votos,lista_nominal,morena_pct,particip_pct
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2938,253.0,891,1905,28.4,46.77
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2939,188.0,742,1527,25.34,48.59
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2940,232.0,725,1689,32.0,42.92
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2941,226.0,795,1660,28.43,47.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2942,199.0,736,1746,27.04,42.15
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2943,226.0,842,1860,26.84,45.27
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2944,109.0,432,807,25.23,53.53
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2945,270.0,1068,2331,25.28,45.82
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2946,307.0,917,2305,33.48,39.78
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2947,183.0,690,1569,26.52,43.98
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2948,297.0,1159,2425,25.63,47.79
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2949,398.0,1812,3767,21.96,48.1
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2950,296.0,1187,2640,24.94,44.96
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2951,176.0,691,1565,25.47,44.15
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2952,128.0,585,1493,21.88,39.18
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2953,256.0,857,2016,29.87,42.51
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2954,292.0,873,2110,33.45,41.37
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2955,218.0,801,1825,27.22,43.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2956,190.0,808,1652,23.51,48.91
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2957,162.0,523,1119,30.98,46.74
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2958,115.0,510,1098,22.55,46.45
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2959,133.0,445,1103,29.89,40.34
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2960,246.0,873,2141,28.18,40.78
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2961,248.0,856,2055,28.97,41.65
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2962,229.0,1127,2259,20.32,49.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2963,82.0,347,778,23.63,44.6
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2964,681.0,4641,8819,14.67,52.63
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2965,218.0,855,2109,25.5,40.54
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2973,134.0,767,1559,17.47,49.2
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2974,185.0,900,1670,20.56,53.89
14,JALISCO,4,ZAPOPAN,120,ZAPOPAN,2975,197.0,1002,1906,19.66,52.57
